Block Type,96well,,
Chemistry,SYBR_GREEN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\LCB\20190426\SSDA-0.eds,,
Experiment Run End Time,2019-04-26 13:05:40 PM PDT,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,SYBR,ROX
D12,11,,
E1,11,-10749.16016,34503.85547
E2,11,,
E3,11,-8802.666016,35957.85547
E4,11,,
E5,11,-7874.620605,36649.0625
E6,11,,
E7,11,-8555.717773,34511.84375
E8,11,,
E9,11,-6884.794434,36388.26953
E10,11,,
E11,11,,
E12,11,,
F1,11,-10847.30371,36959.36719
F2,11,,
F3,11,-10784.28613,33684.90234
F4,11,,
F5,11,-4558.327148,35199.26563
F6,11,,
F7,11,-9012.246094,35350.28516
F8,11,,
F9,11,-9037.787109,36354.44141
F10,11,,
F11,11,,
F12,11,,
G1,11,-9673.037109,33583.35938
G2,11,,
G3,11,-9513.945313,33945.62109
G4,11,,
G5,11,-8708.296875,36037.38281
G6,11,,
G7,11,-9479.40332,33189.78906
G8,11,,
G9,11,-6592.28125,44414.74219
G10,11,,
G11,11,,
G12,11,,
H1,11,-11328.60938,31730.24805
H2,11,,
H3,11,-8954.472656,35272.19531
H4,11,,
H5,11,-10291.92188,33549.71484
H6,11,,
H7,11,-9200.682617,35398.46875
H8,11,,
H9,11,-10554.93457,-2029.648438
H10,11,,
H11,11,,
H12,11,,
A1,12,62983.28516,32192.4375
A2,12,,
A3,12,100542.2188,39614.50781
A4,12,,
A5,12,80964.38281,33466.80859
A6,12,,
A7,12,88043.91406,36158.69141
A8,12,,
A9,12,92474.89844,39620.89453
A10,12,,
A11,12,,
A12,12,,
B1,12,4442.993652,31331.29297
B2,12,,
B3,12,4367.563477,38669.17578
B4,12,,
B5,12,3843.450195,33621.66797
B6,12,,
B7,12,2118.665283,32289.25586
B8,12,,
B9,12,5801.283203,34967.4375
B10,12,,
B11,12,,
B12,12,,
C1,12,-4850.391602,40979.84766
C2,12,,
C3,12,-7510.799316,38034.83203
C4,12,,
C5,12,-10253.0127,32112.29883
C6,12,,
C7,12,-6568.754883,36545.71094
C8,12,,
C9,12,-5007.88623,35584.69141
C10,12,,
C11,12,,
C12,12,,
D1,12,-7889.525879,34842.17969
D2,12,,
D3,12,-9380.479492,34069.56641
D4,12,,
D5,12,-9201.8125,32246.24609
D6,12,,
D7,12,-7205.292969,34808.30859
D8,12,,
D9,12,-5659.296875,41942.61328
D10,12,,
D11,12,,
D12,12,,
E1,12,-7814.338379,36124.75781
E2,12,,
E3,12,-7099.989746,37693.95703
E4,12,,
E5,12,-6616.795898,38298.08594
E6,12,,
E7,12,-7460.267578,36189.42578
E8,12,,
E9,12,-5969.880371,38109.17188
E10,12,,
E11,12,,
E12,12,,
F1,12,-7641.069336,38996.375
F2,12,,
F3,12,-7973.20752,35994.73438
F4,12,,
F5,12,-2725.199951,36983.92969
F6,12,,
F7,12,-7829.833984,37107.38281
F8,12,,
F9,12,-6734.700195,38356.79297
F10,12,,
F11,12,,
F12,12,,
G1,12,-6402.044434,36173.20313
G2,12,,
